#Table30: Reduced Zn transitions according to the criteria and results obtained in Sect. 11
#
#wavelength/Angstrom, Ion, log(gf)_TOSS, log(gf)_Kurucz, E_low/cm^-1, E_up/cm^-1
#
1164.66,V,-0.92,-0.95,228335,314197
1165.19,V,-0.50,-0.48,210973,296796
1165.69,IV,-1.37,-1.40,135951,221737
1165.71,V,-0.51,-0.53,286575,372360
1165.72,V,-0.41,-0.42,210973,296757
1165.84,V,-1.67,-1.59,202929,288704
1165.88,V,0.67,0.65,234846,320618
1168.30,V,-0.75,-0.87,230435,316029
1169.20,V,0.06,0.05,285523,371051
1169.30,V,-0.40,-0.44,231122,316643
1170.11,V,0.05,0.07,226334,311796
1170.76,V,-1.23,-1.09,230614,316029
1171.11,V,-0.20,-0.18,231831,317220
1171.42,V,-0.75,-0.82,230435,315801
1171.80,V,-0.46,-0.51,227195,312534
1171.95,V,-0.09,-0.10,291107,376434
1172.04,V,0.21,0.23,260880,346201
1172.29,IV,-1.02,-1.03,149191,234494
1173.37,V,-0.03,0.06,239843,325068
1174.17,V,-0.57,-0.59,285885,371051
1174.35,V,0.52,0.50,198962,284116
1176.12,V,-0.05,-0.12,226334,311359
1176.53,V,-0.18,-0.19,231831,316827
1176.87,V,0.31,0.29,198962,283933
1176.88,V,-2.23,-2.22,201973,286943
1176.98,V,0.01,-0.01,201973,286936
1177.02,V,-0.08,-0.10,226334,311295
1177.04,V,-0.30,-0.32,202929,287888
1177.04,V,0.18,0.16,200644,285603
1177.09,V,0.44,0.42,231831,316786
1177.50,IV,-0.40,-0.40,151250,236175
1178.29,V,-0.87,-0.97,235903,320772
1178.41,IV,-1.54,-1.55,151250,236109
1178.64,V,-0.24,-0.33,260880,345723
1178.76,V,-0.25,-0.11,241829,326664
1179.15,V,0.24,0.24,236969,321776
1179.49,IV,-0.56,-0.57,151392,236175
1179.82,IV,-2.01,-2.04,148180,232938
1179.97,V,0.40,0.39,208715,293463
1180.02,V,-0.48,-0.47,260880,345624
1180.03,V,-0.94,-1.03,237032,321776
1180.28,IV,-2.16,-2.23,151250,235976
1181.39,V,-1.42,-1.32,231997,316643
1182.02,V,-0.70,-0.65,227195,311796
1182.02,IV,-0.47,-0.47,151574,236175
1182.57,V,-0.44,-0.39,212471,297033
1183.04,V,-0.67,-0.70,235730,320257
1183.10,V,-0.80,-0.87,230435,314958
1183.16,V,-1.16,-1.01,232946,317466
1183.31,V,-0.57,-0.70,231831,316339
1183.77,V,-1.84,-1.86,286575,371051
1185.68,V,-0.41,-0.42,203548,287888
1185.90,V,0.21,0.18,212471,296796
1185.95,V,0.11,0.10,210973,295293
1185.96,V,-0.51,-0.52,285523,369843
1186.06,V,0.38,0.36,235730,320043
1186.45,V,0.01,-0.00,212471,296757
1187.66,V,0.28,0.26,228335,312534
1187.71,V,0.39,0.38,210973,295168
1188.16,V,-1.18,-1.24,227195,311359
1189.07,V,0.34,0.33,227195,311295
1189.33,V,-0.48,-0.51,234846,318927
1189.54,IV,-0.91,-0.92,148180,232246
1190.34,V,-0.24,-0.22,231831,315840
1190.38,V,0.45,0.45,208715,292722
1190.38,V,-0.38,-0.38,202929,286936
1192.01,V,-0.36,-0.37,260880,344771
1193.26,V,-1.08,-1.13,231997,315801
1193.30,IV,-1.59,-1.63,130366,214167
1193.62,V,-0.80,-0.81,285523,369302
1193.85,V,-0.49,-0.49,231831,315594
1194.07,IV,-1.51,-1.54,149191,232938
1194.17,V,-1.02,-1.02,237032,320772
1195.75,V,-0.30,-0.29,201973,285603
1196.62,V,-1.41,-1.35,235903,319472
1197.41,IV,-1.36,-1.38,148180,231693
1198.16,V,-1.00,-0.87,228335,311796
1198.80,V,-0.12,-0.13,285885,369302
1199.22,V,-1.31,-1.32,203548,286936
1200.14,V,-2.21,-2.24,227195,310519
1200.33,V,-2.39,-2.41,285523,368833
1200.64,V,-0.25,-0.24,200644,283933
1200.64,V,0.48,0.46,236969,320257
1201.28,IV,-1.52,-1.52,151250,234494
1201.31,V,-1.12,-0.99,231997,315239
1201.52,IV,-0.51,-0.54,151574,234802
1201.96,V,0.48,0.47,235730,318927
1202.06,V,-1.29,-1.33,260880,344070
1202.13,V,0.52,0.51,240446,323632
1202.91,V,0.49,0.48,234846,317978
1202.98,V,-0.90,-1.00,239843,322969
1203.26,V,-1.50,-1.45,231122,314229
1203.35,IV,-1.76,-1.79,151392,234494
1203.46,IV,-1.59,-1.60,128730,211824
1203.62,V,-1.49,-1.51,232946,316029
1203.75,V,-1.86,-1.86,236969,320043
1204.02,IV,-1.39,-1.39,149191,232246
1204.47,V,-1.72,-1.72,228335,311359
1204.72,V,-0.08,-0.10,231831,314838
1205.57,V,-0.81,-0.82,285885,368833
1205.59,IV,-1.73,-1.76,138479,221426
1207.19,V,-0.82,-0.91,235599,318436
1207.41,V,-1.29,-1.29,212471,295293
1209.24,V,-1.45,-1.52,241829,324526
1209.58,V,-1.43,-1.43,202929,285603
1209.73,V,-2.17,-2.28,236969,319632
1212.09,IV,-2.05,-2.17,149191,231693
1212.26,V,-1.59,-1.57,210973,293463
1212.71,IV,-1.81,-1.85,128730,211190
1214.08,V,-0.74,-0.80,231831,314197
1214.14,IV,-2.00,-2.06,131805,214167
1214.29,V,-0.87,-0.78,230614,312967
1214.45,V,-0.31,-0.37,260880,343221
1215.70,V,0.13,0.12,286575,368833
1215.83,V,-2.22,-2.23,235730,317978
1216.07,V,-0.38,-0.45,231997,314229
1216.54,V,-1.99,-2.05,231997,314197
1220.10,V,-1.76,-1.75,201973,283933
1220.40,V,-1.44,-1.47,234846,316786
1223.18,IV,0.46,0.46,160886,242640
1223.44,V,-2.32,-2.37,260880,342616
1223.68,IV,-0.69,-0.70,160919,242640
1224.02,IV,-0.28,-0.30,148180,229878
1224.16,IV,-1.54,-1.59,151250,232938
1224.36,IV,-1.36,-1.37,131805,213480
1224.79,V,-0.43,-0.54,231997,313644
1226.06,V,-1.11,-1.11,235903,317466
1226.31,IV,-1.55,-1.61,151392,232938
1227.63,IV,-1.83,-1.85,130366,211824
1227.79,V,-1.82,-1.97,234582,316029
1227.99,IV,-2.44,-2.41,160886,242320
1228.49,IV,0.39,0.39,160919,242320
1228.65,IV,-1.14,-1.17,132777,214167
1229.05,IV,-1.59,-1.63,151574,232938
1230.27,V,-0.68,-0.61,232946,314229
1230.71,V,-0.85,-0.90,291107,372360
1231.47,IV,-1.36,-1.36,130366,211570
1232.87,V,-1.68,-1.75,208715,289827
1233.09,V,-1.47,-1.39,235730,316827
1233.79,IV,-1.68,-1.69,148180,229231
1234.83,IV,-1.25,-1.25,148180,229163
1235.65,V,-1.44,-1.56,239843,320772
1236.69,V,-0.64,-0.67,230435,311296
1237.27,IV,-1.38,-1.42,130366,211190
1238.43,V,-0.15,-0.18,260880,341627
1238.55,V,-1.32,-1.37,235903,316643
1239.11,V,-0.62,-0.62,231831,312534
1239.12,IV,-0.84,-0.85,132777,213480
1239.60,IV,-1.08,-1.09,151574,232246
1243.11,IV,-0.69,-0.74,151250,231693
1246.08,V,-1.68,-1.68,236969,317220
1246.24,V,-1.62,-1.47,235599,315840
1247.02,IV,-1.84,-1.82,128730,208921
1247.07,V,-1.20,-1.24,237032,317220
1247.07,V,-0.46,-0.53,208715,288903
1247.29,V,-1.05,-1.10,231122,311296
1248.15,IV,-1.16,-1.23,151574,231693
1249.03,IV,-1.82,-1.85,149191,229253
1249.37,IV,-1.78,-1.77,149191,229231
1249.70,IV,-0.64,-0.68,131805,211824
1249.99,V,-1.90,-1.97,241829,321830
1250.44,IV,-1.07,-1.06,149191,229163
1250.54,V,-1.07,-1.09,231831,311796
1250.84,V,-1.26,-1.26,241829,321776
1250.87,V,-2.04,-2.11,291107,371051
1252.13,V,-1.77,-1.72,235730,315594
1252.86,V,-2.31,-2.27,236969,316786
1252.96,V,-1.19,-1.20,240446,320257
1253.68,IV,-1.09,-1.09,131805,211570
1255.49,V,-1.22,-1.31,230614,310265
1255.53,V,-1.24,-1.27,234582,314229
1255.82,V,-1.56,-1.48,239843,319472
1256.34,V,-0.81,-0.80,240446,320043
1257.34,IV,-1.30,-1.30,130366,209899
1257.41,V,-1.20,-1.29,231831,311359
1258.44,V,-0.64,-0.68,231831,311295
1258.63,V,-1.57,-1.63,210973,290424
1259.68,IV,-2.12,-2.09,131805,211190
1260.92,V,-1.46,-1.54,237032,316339
1262.25,V,-0.70,-0.59,230435,309658
1264.10,V,-1.45,-1.44,235730,314838
1264.94,V,-1.37,-1.36,235903,314958
1265.12,V,-1.15,-1.17,230614,309658
1265.27,IV,-1.46,-1.47,157075,236109
1265.71,IV,0.31,0.30,128730,207737
1265.87,V,-1.93,-2.02,237032,316029
1266.74,V,-1.73,-1.79,241829,320772
1267.42,IV,-0.29,-0.30,157075,235976
1268.16,V,-0.86,-0.92,210973,289827
1268.90,V,-1.15,-1.23,237032,315840
1269.16,IV,-2.47,-2.36,132777,211570
1272.20,IV,-0.18,-0.21,130366,208970
1272.38,V,-2.14,-2.05,239843,318436
1272.99,IV,0.12,0.11,130366,208921
1273.80,IV,-0.96,-0.93,148180,226685
1274.20,V,-0.27,-0.31,240446,318927
1274.63,V,-1.35,-1.35,234846,313300
1275.79,IV,-1.09,-1.09,131805,210187
1276.33,V,-1.73,-1.67,232946,311296
1277.08,IV,0.25,0.24,151574,229878
1277.67,V,-1.78,-1.67,231997,310265
1277.81,V,-1.46,-1.54,212471,290731
1278.31,V,-1.52,-1.51,208715,286943
1278.51,IV,-1.45,-1.55,135951,214167
1280.50,IV,0.01,0.01,131805,209899
1281.30,IV,-0.98,-0.95,157930,235976
1281.31,V,-0.50,-0.55,235599,313644
1282.00,IV,-1.28,-1.29,151250,229253
1282.36,IV,-0.31,-0.31,151250,229231
1282.83,V,-1.31,-1.37,212471,290424
1283.26,V,-1.64,-1.63,237032,314958
1283.48,IV,0.07,0.06,151250,229163
1284.18,IV,-0.61,-0.63,148180,226050
1284.21,V,-1.78,-1.68,236969,314838
1284.35,IV,-0.31,-0.32,151392,229253
1284.71,IV,-0.25,-0.26,151392,229231
1286.33,V,-1.59,-1.46,235903,313644
1286.48,V,-1.69,-1.69,210973,288704
1288.28,V,-1.75,-1.80,239843,317466
1288.85,IV,-0.80,-0.79,151574,229163
1289.79,V,-1.71,-1.73,240446,317978
1290.06,IV,0.09,0.08,199369,276885
1290.42,IV,-0.20,-0.23,149191,226685
1291.10,V,-1.71,-1.69,212471,289925
1291.67,IV,-1.10,-1.07,157075,234494
1291.83,IV,-0.01,-0.02,132777,210187
1292.48,IV,-0.05,-0.05,130366,207737
1294.31,IV,-2.05,-2.07,128730,205991
1294.86,V,-1.76,-1.75,236969,314197
1295.38,V,-1.30,-1.32,237032,314229
1295.85,V,-0.14,-0.11,221631,298801
1296.65,IV,-0.20,-0.21,132777,209899
1296.73,IV,0.00,-0.01,131805,208921
1300.60,V,-1.80,-1.82,208715,285603
1301.08,IV,-0.67,-0.68,149191,226050
1301.19,IV,0.27,0.26,148180,225033
1301.78,IV,-1.14,-1.17,148180,224998
1301.93,IV,-1.77,-1.79,130366,207175
1302.01,V,-1.87,-1.87,235730,312534
1302.79,V,-0.38,-0.36,222042,298801
1305.37,V,-1.45,-1.46,241829,318436
1306.09,IV,-0.38,-0.40,157930,234494
1306.66,IV,0.58,0.57,128730,205261
1308.07,V,-1.90,-1.88,234846,311295
1309.23,V,-0.79,-0.81,240446,316827
1309.93,V,-1.58,-1.58,240446,316786
