#Table29: Reduced Cu transitions according to the criteria and results obtained in Sect. 11
#
#wavelength/Angstrom, Ion, log(gf)_TOSS, log(gf)_Kurucz, E_low/cm^-1, E_up/cm^-1
#
1018.45,IV,0.02,0.05,214413,312602
1018.64,IV,0.64,0.69,190528,288698
1018.84,V,-1.18,-1.11,223214,321365
1018.87,VI,-1.06,-1.00,299256,397404
1018.98,IV,0.23,0.28,215734,313872
1018.99,IV,-0.52,-0.47,193434,291571
1019.12,IV,-0.86,-0.72,215133,313257
1019.26,VI,-1.26,-1.39,322805,420915
1019.35,IV,-0.79,-0.71,221602,319704
1019.71,V,-2.07,-2.09,223376,321443
1020.07,IV,-0.21,-0.13,192741,290774
1020.28,IV,0.32,0.38,190554,288566
1020.87,IV,-0.90,-0.82,199599,297554
1020.90,IV,-0.64,-0.67,223000,320953
1021.08,IV,-0.26,-0.17,222666,320601
1021.27,IV,-1.55,-1.62,193948,291865
1021.57,V,-1.88,-1.83,223477,321365
1022.19,IV,0.53,0.58,220917,318746
1022.55,IV,-0.91,-1.00,214835,312630
1022.55,IV,-0.91,-1.00,214835,312630
1022.83,IV,-0.09,0.01,191762,289530
1022.85,V,-2.13,-2.08,256273,354039
1023.12,V,-2.43,-2.41,221664,319404
1023.22,IV,0.33,0.39,198179,295910
1023.44,IV,-0.72,-0.67,199202,296912
1023.76,IV,-1.53,-1.61,214319,311998
1023.76,IV,-1.53,-1.50,214319,311998
1023.82,VI,-1.27,-1.22,299256,396929
1024.10,VI,-2.05,-1.98,299282,396929
1024.13,IV,-0.68,-0.79,216071,313715
1024.21,VI,-2.41,-2.40,299293,396929
1024.26,IV,-0.22,-0.10,214835,312467
1024.50,IV,0.15,0.21,191762,289370
1024.53,V,-1.65,-1.68,229774,327380
1024.62,V,-1.24,-1.17,223477,321074
1024.80,IV,-0.25,-0.14,214835,312416
1024.97,IV,-0.32,-0.30,218628,316192
1025.00,IV,-1.07,-1.01,218631,316192
