#list of all IG-element (stages III-VI) transitions found in Feige110
#
#wavelength/Angstrom, Element, Ion, log(gf)_Kurucz, E_low/cm^-1, E_up/cm^-1
#
1174.50,Ni,VI,-0.08,330001.60,415144.50
1174.58,Ni,IV,-1.29,152343.70,237480.30
1174.59,Ni,VI,-0.07,296696.70,381832.80
1174.87,Ni,VI,-0.41,328437.20,413553.10
1175.12,Cr,IV,-1.08,250007.70,164909.70
1175.18,Cr,IV,-1.02,268813.40,183720.30
1175.22,Co,V,-1.49,236431.20,321521.40
1175.36,Co,VI,0.65,308029.50,393109.70
1175.89,Co,VI,-0.17,273324.80,358366.50
1175.92,Ni,VI,-0.58,347892.40,432932.00
1176.15,Cr,IV,-2.18,249932.50,164909.70
1176.33,Ni,VI,-0.90,339335.80,424346.10
1176.82,Ni,VI,-0.50,339260.10,424235.10
1176.86,Ni,V,-1.52,232545.90,317517.50
1176.91,Ni,VI,0.48,347963.90,432932.00
1176.95,Ni,VI,-0.18,296198.10,381163.80
1176.97,Co,V,-1.38,236158.00,321122.20
1176.97,Fe,IV,-1.52,160778.60,245742.29
1176.97,Ni,VI,-0.08,307843.90,392808.10
1176.99,Ni,V,-0.84,212455.70,297417.90
1176.99,Ni,V,-1.83,216590.50,301553.00
1177.00,Mn,V,-2.49,177874.20,262836.10
1177.03,Fe,V,-1.55,363753.70,278794.20
1177.09,Fe,V,-1.60,364457.90,279502.60
1177.13,Cr,IV,-0.21,257588.60,172636.40
1177.14,Ni,V,-2.23,229440.60,314392.00
1177.18,Ni,V,-1.11,221429.00,306377.80
1177.25,Ni,VI,0.00,343052.00,427995.60
1177.33,Cr,IV,-0.38,268813.40,183875.60
1177.47,Cr,VI,-1.01,402661.70,487589.50
1177.61,Ni,V,-1.56,212095.80,297013.90
1177.69,Co,V,-1.47,238164.60,323076.20
1177.71,Co,V,-1.45,238259.10,323169.40
1177.72,Ti,V,-0.37,488928.70,573838.30
1177.76,Fe,IV,-0.83,201178.05,286084.72
1177.87,Fe,V,-1.33,195933.00,280832.20
1177.92,V_,IV,-0.50,236322.40,151427.00
1178.21,Ni,V,-1.07,216596.00,301470.20
1178.22,Ni,VI,-0.36,295882.70,380756.70
1178.32,Ni,VI,-2.39,343999.60,428866.50
1178.36,Ni,VI,-1.47,339482.40,424346.10
1178.37,Ni,VI,-0.09,375673.00,460535.90
1178.38,Ni,V,-1.25,232655.60,317517.50
1178.39,Co,VI,0.18,294229.50,379090.80
1178.56,Co,V,-0.37,268885.80,353735.50
1178.63,Co,VI,0.23,326902.80,411747.10
1178.80,Ni,V,-1.18,242290.40,327122.70
1178.82,Ni,V,-2.29,232545.90,317376.80
1178.89,Co,VI,-0.59,293914.50,378740.00
1178.92,Ni,V,-0.04,212095.80,296919.30
1178.93,Ni,V,-1.33,232655.60,317477.90
1179.25,Co,VI,-0.27,293914.50,378714.00
1179.56,Ni,V,-1.30,235736.50,320513.80
1179.59,Co,V,-0.27,236746.00,321521.40
1179.70,Co,V,-1.32,241174.10,325941.40
1179.80,Ni,V,-1.26,212253.40,297013.90
1179.87,V_,IV,-0.94,236322.40,151567.30
1179.92,Ni,VI,0.03,366289.80,451041.30
1179.93,Ni,V,-1.01,221087.60,305838.10
1179.97,Ni,VI,0.12,308323.80,393072.00
1180.05,Ni,V,-1.30,263735.70,348477.90
1180.11,Cr,IV,-0.82,268458.10,183720.30
1180.24,Ni,V,-1.01,216189.90,300918.10
1180.30,Ni,VI,0.44,347892.40,432616.60
1180.31,Co,VI,-0.02,303840.90,388564.70
1180.34,V_,IV,-0.90,236148.60,151427.00
1180.39,Ni,VI,0.23,337993.90,422711.80
1180.60,Co,V,-1.17,241582.40,326285.10
1180.63,Co,VI,-0.40,304909.90,389610.30
1180.63,Mn,V,-1.87,177874.20,262574.90
1180.76,Co,V,-0.34,236431.20,321122.20
1180.85,Co,V,-1.25,241875.40,326560.00
1180.87,Co,V,-1.36,235961.10,320644.60
1180.94,Fe,IV,-1.84,165600.96,250279.06
1180.95,Co,VI,-0.20,298620.20,383297.40
1181.12,Cr,V,-2.05,319284.00,234618.40
1181.28,Co,VI,-0.50,311916.00,396569.80
1181.28,Ni,VI,-0.42,375949.80,460604.00
1181.30,Ni,VI,0.06,347963.90,432616.60
1181.36,Ni,VI,-0.92,337993.90,422642.40
1181.49,Co,VI,-0.80,273727.70,358366.50
1181.91,Ni,VI,0.02,375927.10,460535.90
1181.94,Co,VI,0.07,282948.00,367554.50
1181.94,Ni,V,-1.58,232910.80,317517.50
1182.05,Ni,V,-1.71,240959.60,325558.60
1182.14,Fe,VI,-1.33,280901.50,365494.00
1182.28,Cr,IV,-1.44,268458.10,183875.60
1182.36,Ni,V,-1.54,232655.60,317232.00
1182.39,Co,V,-0.34,241985.30,326560.00
1182.49,Ni,V,-1.06,232910.80,317477.90
1182.54,Ni,V,-1.57,241773.60,326337.10
1182.61,Ni,VI,-0.87,296198.10,380756.70
1182.62,Ni,V,-0.63,212455.70,297013.90
1183.40,Cr,IV,-0.97,249932.50,165430.00
1183.45,Co,V,-0.81,244821.20,329319.80
1183.62,Co,V,-0.21,236158.00,320644.60
1183.63,Ti,IV,-0.46,212407.34,127921.36
1183.65,Co,VI,-0.57,294229.50,378714.00
1183.65,Ni,VI,-0.54,308323.80,392808.10
1183.68,Ni,VI,-0.90,297350.50,381832.80
1183.73,Ni,V,-2.40,235420.60,319899.10
1183.76,Ni,V,-1.02,241082.20,325558.60
1183.79,Fe,IV,-1.92,165720.94,250195.07
1183.89,Ni,V,-1.88,208163.70,292631.00
1183.89,Ni,VI,-0.80,296696.70,381163.80
1183.90,Ni,V,-1.58,208164.60,292631.00
1183.91,Co,V,-0.59,241174.10,325639.80
1184.12,Co,VI,0.21,283961.00,368412.20
1184.15,Ni,V,-1.54,242290.40,326739.00
1184.17,Fe,IV,-1.50,160311.64,244759.25
1184.20,Fe,IV,-2.17,165804.47,250249.39
1184.25,Ni,VI,0.04,332051.60,416493.00
1184.31,Cr,V,-2.39,319284.00,234846.40
1184.31,Ni,VI,-0.18,375927.10,460364.60
1184.35,Fe,V,-2.33,195933.00,280367.20
1184.55,Fe,V,-1.67,415787.00,331367.00
1184.58,Fe,V,-1.90,364457.90,280039.60
1184.65,Fe,V,-0.85,365245.20,280832.20
1184.70,Co,V,-0.43,241875.40,326285.10
1184.71,Ni,V,-1.23,221429.00,305838.10
1184.77,Ni,VI,-0.92,336430.40,420835.30
1185.02,Ni,VI,-0.54,339260.10,423646.80
1185.13,Ni,VI,-0.10,343842.60,428221.40
1185.20,Mn,VI,-0.30,440234.10,524608.00
1185.23,Ni,V,-1.14,242504.30,326876.30
1185.27,Ni,V,-2.27,217101.00,301470.20
1185.41,Co,V,-0.49,241582.40,325941.40
1185.56,Cr,IV,-0.13,257714.40,173366.00
1185.92,Co,VI,0.03,298974.60,383297.40
1185.93,Ni,V,-1.56,216596.00,300918.10
1185.95,Ni,V,-0.28,212253.40,296574.00
1185.99,Ni,VI,-1.77,332175.40,416493.00
1186.00,Ni,VI,-0.70,336404.80,420722.00
1186.10,Ni,VI,-0.28,339335.80,423645.80
1186.36,Fe,V,-1.03,386896.30,302604.50
1186.48,Co,V,-1.30,241985.30,326267.90
1186.58,Co,IV,-2.35,136611.20,220887.10
1186.58,Fe,VI,-1.19,281217.80,365494.00
1186.60,Co,IV,-1.18,136612.50,220887.10
1186.62,Cr,V,-1.99,319119.10,234846.40
1186.63,Fe,V,-1.33,386649.50,302377.10
1186.91,Ni,V,-1.49,240959.60,325211.90
1186.99,Ni,VI,-0.29,332175.40,416422.30
1187.20,Ni,V,-1.53,235420.60,319652.70
1187.33,Cr,IV,-1.16,257588.60,173366.00
1187.33,Ni,V,-1.39,208131.00,292353.40
1187.52,Ni,VI,-0.45,343842.60,428051.50
1187.53,Ni,VI,-0.72,336344.90,420553.20
1187.65,Ni,V,-2.33,235420.60,319620.20
1187.67,Ni,V,-1.66,232545.90,316744.00
1187.79,Ni,V,-1.25,208163.70,292353.40
1187.79,Ni,V,-1.51,235736.50,319926.50
1188.15,V_,VI,-0.56,641800.30,557636.10
1188.16,V_,V,-0.92,416361.78,332198.10
1188.31,Ni,VI,-1.78,343842.60,427995.60
1188.36,Ni,VI,0.03,332343.60,416493.00
1188.53,Mn,V,-1.72,177326.90,261464.40
1188.55,Co,VI,-0.15,298620.20,382756.10
1188.68,Co,VI,0.40,285189.00,369316.00
1188.75,Cr,IV,-0.58,256306.20,172184.00
1188.79,Ti,V,-0.52,487974.60,572093.90
1188.83,Fe,V,-1.12,366154.70,282038.10
1189.23,Fe,V,-1.40,359462.00,275374.30
1189.29,Ni,VI,0.39,309977.10,394061.00
1189.36,Ni,VI,-0.20,332343.60,416422.30
1189.54,Ni,V,-0.46,241082.20,325148.40
1189.55,Co,VI,-0.34,295025.60,379090.80
1189.56,Ni,V,-1.22,274695.40,358760.00
1189.63,Ni,V,-1.48,236454.10,320513.80
1189.67,Ni,V,-2.38,246240.90,330297.60
1189.68,Ni,V,-1.61,229408.80,313464.70
1189.85,Ni,VI,-0.50,343052.00,427096.50
1190.09,Co,VI,0.57,307692.00,391719.40
1190.12,Ni,V,-1.38,243331.50,327356.60
1190.26,Co,V,-0.56,248098.90,332114.20
1190.28,Ni,V,-1.26,242862.60,326876.30
1190.32,Ni,V,-0.33,216189.90,300201.00
1190.37,Co,VI,0.57,312551.20,396559.00
1190.39,Ni,VI,-0.50,335384.50,419390.50
1190.44,Mn,V,-1.01,178572.50,262574.90
1190.57,Fe,V,-2.47,196838.60,280832.20
1190.58,Fe,V,-2.37,366564.40,282571.60
1191.00,Ni,VI,-0.19,351033.00,434995.80
1191.13,Co,V,-2.19,248098.90,332053.00
1191.16,Co,V,-0.82,244866.70,328818.40
1191.16,Co,V,-1.73,241174.10,325125.50
1191.19,Ti,V,-0.25,493300.50,577249.80
1191.21,Co,V,-1.36,261994.00,345942.10
1191.66,Ni,IV,-0.77,141220.30,225136.90
1191.68,Fe,V,-1.02,364454.90,280539.70
1191.69,Ni,IV,-2.04,148358.20,232272.70
1191.90,Ni,VI,-0.49,351096.20,434995.80
1191.92,Ni,V,-0.99,241082.20,324980.20
1192.08,Ni,IV,-1.62,138446.20,222333.30
1192.08,Ni,VI,-0.43,335976.00,419863.30
1192.23,Ni,IV,-1.12,141220.30,225096.40
1192.34,Co,VI,-0.64,312551.20,396420.20
1192.34,Ni,VI,-0.59,335976.00,419844.70
1192.35,Ti,V,0.31,488225.70,572093.90
1192.46,Mn,V,-1.81,176946.30,260806.20
1192.46,Ni,VI,0.12,343842.60,427702.70
1192.48,Ni,VI,-0.73,339482.40,423341.40
1192.51,Ni,V,-1.14,243266.20,327122.70
1192.68,Ni,V,-1.00,208046.40,291891.40
1192.74,Fe,IV,-0.86,201212.22,285052.77
1192.85,Ni,V,-1.19,242504.30,326337.10
1193.16,Ni,VI,-0.37,328437.20,412248.20
1193.42,Ni,VI,-0.31,358827.90,442620.70
1193.48,Cr,IV,-0.71,265031.60,181243.10
1193.60,Ni,V,-0.68,274695.40,358475.60
1193.63,Co,VI,-0.66,306439.20,390217.50
1193.66,Co,VI,-2.13,303788.50,387564.70
1193.73,Cr,IV,-0.96,265048.60,181277.90
1193.88,Ni,V,-1.14,208131.00,291891.40
1193.89,Co,VI,-0.70,303788.50,387548.30
1193.89,Ni,VI,0.01,382889.10,466649.10
1193.94,Co,VI,-1.09,306439.20,390195.80
1193.95,Cr,V,0.21,318601.70,234846.40
1194.00,Ni,V,-1.18,243370.50,327122.70
1194.14,Ni,V,-1.77,225200.70,308943.00
1194.18,Ni,V,-2.01,242290.40,326029.90
1194.21,Ni,V,-1.26,274738.60,358475.60
1194.24,Ni,VI,-0.61,336344.90,420080.00
1194.25,Ni,V,-0.86,232545.90,316280.30
1194.28,Ni,V,-0.72,240193.80,323926.30
1194.28,Ni,VI,-0.78,343842.60,427575.00
1194.29,Co,IV,-1.12,137336.40,221068.10
1194.48,Ni,V,-1.49,235420.60,319138.70
1194.92,Co,VI,0.37,307482.70,391170.30
1194.97,Co,V,-1.09,283592.10,367276.40
1194.97,Co,VI,-0.69,312551.20,396235.40
1195.10,Fe,V,-1.15,208838.20,292513.20
1195.17,Co,IV,-0.97,137280.90,220950.80
1195.19,Ni,V,-0.13,247049.10,330718.10
1195.20,Ti,IV,-0.17,212407.34,128739.59
1195.39,Co,VI,-0.08,304909.90,388564.70
1195.42,Cr,IV,-0.25,255836.90,172184.00
1195.68,Ni,V,-1.26,216590.50,300224.90
1195.76,Ni,V,-1.47,216596.00,300224.90
1195.82,Ni,V,-1.75,232655.60,316280.30
1195.85,Fe,V,-1.69,364454.90,280832.20
1195.89,Cr,IV,-0.63,255803.60,172184.00
1196.02,Ni,V,-1.16,216590.50,300201.00
